Loading German credit data...
Setting up German credit logistic horseshoe model...
Using 2 concatenated flows each w/ hidden layers=[51, 51]
Centering model w/ 1000 iter and 10 atoms...
Running 4 chains of NUTS for 1000 iter w/ 1000 warmup (tuning) iter...

                mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta[0]      0.38      0.87      0.41     -1.00      1.90   3212.17      1.00
   beta[1]      1.13      0.56      1.05      0.28      1.98   2265.86      1.00
   beta[2]     -1.27      0.58     -1.19     -2.14     -0.36   2772.13      1.00
   beta[3]      1.10      0.55      1.02      0.28      1.96   2269.39      1.00
   beta[4]     -0.45      0.84     -0.47     -1.81      1.01   2917.18      1.00
   beta[5]      0.96      0.57      0.86      0.09      1.76   2288.63      1.00
   beta[6]      0.67      0.70      0.61     -0.29      1.96   1898.55      1.00
   beta[7]      0.67      0.69      0.63     -0.34      1.92   2246.80      1.00
   beta[8]      0.03      0.81      0.03     -1.43      1.33   3628.22      1.00
   beta[9]     -0.70      0.68     -0.64     -1.92      0.22   2133.90      1.00
  beta[10]      0.39      0.83      0.39     -1.15      1.63   3093.37      1.00
  beta[11]      0.82      0.58      0.72      0.06      1.72   2136.85      1.00
  beta[12]     -0.44      0.84     -0.44     -1.83      1.01   3010.65      1.00
  beta[13]     -0.05      0.84     -0.05     -1.49      1.34   3664.17      1.00
  beta[14]      0.32      0.75      0.29     -0.86      1.67   2911.54      1.00
  beta[15]      0.70      0.75      0.69     -0.39      2.03   1476.72      1.00
  beta[16]     -0.87      0.53     -0.77     -1.63     -0.09   2885.11      1.00
  beta[17]      0.88      0.61      0.79      0.06      1.85   2667.77      1.00
  beta[18]     -0.68      0.69     -0.64     -2.02      0.27   2015.55      1.00
  beta[19]     -0.75      0.78     -0.73     -2.15      0.44   1719.68      1.00
  beta[20]     -0.53      0.75     -0.51     -1.84      0.67   2412.18      1.00
  beta[21]      0.32      0.81      0.32     -1.02      1.71   2204.40      1.00
  beta[22]      0.05      0.85      0.06     -1.32      1.54   3860.98      1.00
  beta[23]     -0.01      0.81     -0.02     -1.34      1.38   3538.40      1.00
  beta[24]     -0.04      0.81     -0.03     -1.33      1.39   3691.53      1.00
  lamda[0]      0.86      1.18      0.44      0.00      2.16   1479.01      1.00
  lamda[1]      2.30      1.46      1.91      0.43      4.24   2363.00      1.00
  lamda[2]      2.88      1.68      2.50      0.49      5.05   2553.39      1.00
  lamda[3]      2.00      1.37      1.63      0.34      3.76   2279.56      1.00
  lamda[4]      0.82      1.07      0.44      0.00      2.09   3821.56      1.00
  lamda[5]      1.47      1.23      1.12      0.17      2.93   2801.55      1.00
  lamda[6]      0.87      1.03      0.56      0.00      2.05   2817.76      1.00
  lamda[7]      0.92      1.08      0.59      0.00      2.15   2851.38      1.00
  lamda[8]      0.33      0.64      0.12      0.00      0.86   4059.82      1.00
  lamda[9]      0.85      0.97      0.55      0.00      2.03   2908.12      1.00
 lamda[10]      0.68      1.07      0.33      0.00      1.67    859.21      1.00
